,,,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,,Goalie Stats,Goalie Stats,,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Scoring,Scoring,Scoring,Scoring
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,25,STL,47,44,26,15,3,101,1260,1159,.920,2.35,6,8.2,2583,26,.591,6,94,6.28,0,0,0,0
2,Frederik Andersen\anderfr01,26,ANA,43,37,22,9,7,88,1086,998,.919,2.30,3,7.0,2298,24,.649,5,95,4.46,0,1,1,2
3,Craig Anderson\andercr01,34,OTT,60,60,31,23,5,161,1915,1754,.916,2.78,4,11.6,3477,31,.517,8,99,2.05,0,2,2,0
4,Richard Bachman\bachmri01,28,VAN,1,1,1,0,0,3,31,28,.903,3.01,0,0.1,60,0,.000,0,,,0,0,0,0
5,Niklas Backstrom\backsni01,37,CGY,4,3,2,2,0,13,109,96,.881,3.35,0,0.2,233,2,.667,1,,,0,0,0,0
6,Jonathan Bernier\bernijo01,27,TOR,38,36,12,21,3,103,1114,1011,.908,2.88,3,5.6,2147,19,.528,8,109,-8.15,0,0,0,2
7,Reto Berra\berrare01,29,COL,14,12,5,8,0,29,374,345,.922,2.41,2,2.5,721,7,.583,2,91,2.84,0,1,1,2
8,Jean-Francois Berube\berubje02,24,NYI,7,6,3,2,1,18,210,192,.914,2.71,0,1.2,399,4,.667,1,,,0,0,0,0
9,Jordan Binnington\binnijo01,22,STL,1,0,0,0,0,1,4,3,.750,4.69,0,-0.1,13,0,,0,,,0,0,0,0
10,Ben Bishop\bishobe01,29,TBL,61,60,35,21,4,123,1672,1549,.926,2.06,6,12.2,3585,37,.617,4,86,19.36,0,1,1,4
11,Sergei Bobrovsky\bobrose01,27,CBJ,37,37,15,19,1,97,1049,952,.908,2.75,1,5.3,2116,18,.486,8,109,-7.69,0,2,2,2
12,Laurent Brossoit\brossla01,22,EDM,5,5,0,4,1,18,142,124,.873,3.61,0,0.1,300,1,.200,2,,,0,0,0,0
13,Peter Budaj\budajpe01,33,LAK,1,1,1,0,0,4,28,24,.857,3.85,0,0.0,62,0,.000,0,,,0,0,0,0
14,Mike Condon\condomi01,25,MTL,55,51,21,25,6,141,1458,1317,.903,2.71,1,6.6,3123,24,.471,9,114,-16.86,0,0,0,0
15,Pheonix Copley\copleph01,24,STL,1,0,0,0,0,1,6,5,.833,2.46,0,0.0,24,0,,0,,,0,0,0,0
16,Corey Crawford\crawfco01,31,CHI,58,58,35,18,5,131,1718,1587,.924,2.37,7,12.0,3323,40,.690,9,90,15.27,0,1,1,2
17,Yann Danis\danisya01,34,NJD,2,0,0,1,0,4,18,14,.778,4.75,0,-0.2,51,0,,0,,,0,0,0,0
18,Scott Darling\darlisc01,27,CHI,29,24,12,8,4,67,784,717,.915,2.58,1,4.6,1560,13,.542,5,100,-0.25,0,0,0,0
19,Louis Domingue\dominlo01,23,ARI,39,36,15,18,5,101,1142,1041,.912,2.75,2,6.3,2206,20,.556,5,104,-3.77,0,1,1,0
20,Chris Driedger\driedch01,21,OTT,1,0,0,0,0,0,11,11,1.000,0.00,0,0.2,32,0,,0,,,0,0,0,0
21,Devan Dubnyk\dubnyde01,29,MIN,67,66,32,26,6,150,1829,1679,.918,2.33,5,11.5,3861,34,.515,5,96,5.73,0,0,0,8
22,Brian Elliott\elliobr01,30,STL,42,38,23,8,6,78,1113,1035,.930,2.07,4,8.6,2261,26,.684,6,82,16.76,0,0,0,2
23,Jhonas Enroth\enrotjh01,27,LAK,16,13,7,5,1,31,398,367,.922,2.17,2,2.7,856,8,.615,1,91,2.89,0,0,0,0
24,Marc-Andre Fleury\fleurma01,31,PIT,58,58,35,17,6,132,1665,1533,.921,2.29,5,11.0,3463,33,.569,5,93,9.76,0,1,1,2
25,Anton Forsberg\forsban01,23,CBJ,4,3,1,3,0,9,97,88,.907,3.03,0,0.5,178,1,.333,0,,,0,0,0,0
26,Christopher Gibson\gibsoch01,23,NYI,4,2,1,1,1,11,93,82,.882,3.40,0,0.2,194,0,.000,1,,,0,0,0,0
27,John Gibson\gibsojo02,22,ANA,40,38,21,13,4,79,992,913,.920,2.07,4,6.5,2295,21,.553,3,94,5.46,0,1,1,2
28,Thomas Greiss\greisth01,30,NYI,41,38,23,11,4,90,1197,1107,.925,2.36,1,8.5,2287,22,.579,2,88,11.92,0,1,1,2
29,Philipp Grubauer\grubaph01,24,WSH,22,16,8,9,1,43,523,480,.918,2.32,0,3.3,1111,7,.438,2,97,1.53,0,0,0,2
30,Kristers Gudlevskis\gudlekr01,23,TBL,1,1,0,0,1,1,32,31,.969,1.00,0,0.4,60,1,1.000,0,,,0,0,0,0
31,Jonas Gustavsson\gustajo01,31,BOS,24,20,11,9,1,57,622,565,.908,2.72,1,3.2,1258,9,.450,2,108,-4.04,0,0,0,0
32,Jaroslav Halak\halakja01,30,NYI,36,36,18,13,4,80,984,904,.919,2.30,3,6.3,2091,21,.583,6,95,3.78,0,1,1,0
33,Andrew Hammond\hammoan01,27,OTT,24,21,7,11,4,61,712,651,.914,2.65,1,4.2,1382,13,.619,1,101,-0.38,0,0,0,2
34,Magnus Hellberg\hellbma01,24,NYR,1,0,0,0,0,2,6,4,.667,6.00,0,-0.1,20,0,,0,,,0,0,0,0
35,Connor Hellebuyck\helleco01,22,WPG,26,26,13,11,1,56,683,627,.918,2.34,2,4.3,1433,14,.538,6,96,2.15,0,0,0,0
36,Jonas Hiller\hillejo01,33,CGY,26,23,9,11,1,79,654,575,.879,3.51,1,1.1,1351,7,.304,8,142,-23.32,0,0,0,0
37,Braden Holtby\holtbbr01,26,WSH,66,66,48,9,7,141,1802,1661,.922,2.20,3,12.1,3841,42,.636,6,92,12.43,0,1,1,6
