playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470147,2018,Curtis McElhinney,CAR,G,other,33,3428.0,5.12,6.0,80.0,3.04,1.0,8.49,4.0,43.1,43.0,1.23,3.0,26.43,31.0,14.54,15.0,4.88,35.0,20.0,4.0,1.54,2.39,1.19,1.0,4.0,1.0,21.0,0.0,0.0
8470147,2018,Curtis McElhinney,CAR,G,all,33,118651.0,94.56,85.0,1798.0,65.71,86.0,225.38,228.0,984.44,968.0,36.91,39.0,521.77,437.0,423.79,501.0,90.66,989.0,278.0,97.0,28.79,33.68,32.08,19.0,44.0,22.0,434.0,0.0,0.0
8470147,2018,Curtis McElhinney,CAR,G,5on5,33,97431.0,70.99,62.0,1495.0,52.73,72.0,194.11,200.0,815.33,782.0,30.67,28.0,431.8,365.0,346.09,406.0,68.96,827.0,227.0,69.0,24.73,27.6,18.67,17.0,34.0,11.0,372.0,0.0,0.0
8470147,2018,Curtis McElhinney,CAR,G,4on5,33,8394.0,16.09,15.0,179.0,9.07,12.0,20.2,21.0,102.18,109.0,0.64,1.0,58.23,36.0,34.98,53.0,14.65,96.0,25.0,21.0,2.04,3.0,11.05,1.0,5.0,9.0,37.0,0.0,0.0
8470147,2018,Curtis McElhinney,CAR,G,5on4,33,9398.0,2.35,2.0,44.0,0.87,1.0,2.58,3.0,23.82,34.0,4.37,7.0,5.32,5.0,28.16,27.0,2.17,31.0,6.0,3.0,0.48,0.7,1.17,0.0,1.0,1.0,4.0,0.0,0.0
8479394,2018,Carter Hart,PHI,G,other,31,3125.0,6.43,5.0,104.0,4.2,3.0,11.2,14.0,58.24,58.0,0.88,0.0,33.02,28.0,21.18,26.0,6.08,51.0,18.0,9.0,1.63,2.24,2.57,1.0,3.0,1.0,26.0,0.0,0.0
8479394,2018,Carter Hart,PHI,G,all,31,102984.0,80.67,82.0,1795.0,60.36,72.0,215.84,269.0,933.46,977.0,28.58,22.0,497.39,388.0,405.74,453.0,77.58,991.0,208.0,91.0,26.84,24.84,28.99,33.0,25.0,24.0,505.0,0.0,0.0
8479394,2018,Carter Hart,PHI,G,5on5,31,84743.0,61.91,67.0,1477.0,47.52,59.0,183.62,231.0,764.44,797.0,22.3,18.0,407.16,312.0,329.21,366.0,60.01,818.0,172.0,64.0,22.88,20.55,18.48,30.0,20.0,17.0,423.0,0.0,0.0
8479394,2018,Carter Hart,PHI,G,4on5,31,7044.0,10.45,9.0,173.0,7.61,9.0,18.28,21.0,86.68,90.0,0.51,1.0,51.08,44.0,29.79,32.0,9.6,92.0,13.0,15.0,1.83,1.47,7.15,2.0,2.0,5.0,53.0,0.0,0.0
8479394,2018,Carter Hart,PHI,G,5on4,31,8072.0,1.89,1.0,41.0,1.03,1.0,2.73,3.0,24.09,32.0,4.75,2.0,6.13,4.0,25.56,29.0,1.88,30.0,5.0,3.0,0.51,0.59,0.79,0.0,0.0,1.0,3.0,0.0,0.0
8477968,2018,Alex Nedeljkovic,CAR,G,other,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477968,2018,Alex Nedeljkovic,CAR,G,all,1,3600.0,1.35,2.0,50.0,1.69,2.0,6.91,7.0,26.84,26.0,1.04,1.0,16.25,12.0,11.77,13.0,1.34,35.0,4.0,0.0,0.87,0.48,0.0,0.0,2.0,0.0,11.0,0.0,0.0
