Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,szn
1,Sami Aittokallio\aittosa01,20,COL,1,1,0,0,0,2,25,23,0.92,2.43,0,0.2,49,1,1,0,NA,NA,0,0,0,0,12-13
2,Jake Allen\allenja01,22,STL,15,13,9,4,0,33,346,313,0.905,2.46,1,1.8,804,6,0.462,4,108,-2.53,0,0,0,0,12-13
3,Craig Anderson\andercr01,31,OTT,24,24,12,9,2,40,677,637,0.941,1.69,3,6.5,1421,17,0.708,1,67,19.63,0,0,0,0,12-13
4,Richard Bachman\bachmri01,25,DAL,13,8,6,5,0,33,288,255,0.885,3.25,0,0.9,609,4,0.5,3,130,-7.63,0,0,0,0,12-13
5,Niklas Backstrom\backsni01,34,MIN,42,41,24,15,3,98,1072,974,0.909,2.48,2,6.2,2368,18,0.439,8,104,-3.58,0,0,0,2,12-13
6,Jonathan Bernier\bernijo01,24,LAK,14,12,9,3,1,24,306,282,0.922,1.87,1,2.2,768,8,0.667,1,89,2.95,0,1,1,0,12-13
7,Martin Biron\bironma01,35,NYR,6,5,2,2,1,13,156,143,0.917,2.32,0,1,336,2,0.4,1,NA,NA,0,0,0,0,12-13
8,Ben Bishop\bishobe01,26,TOT,22,21,11,9,1,56,701,645,0.92,2.67,2,5,1260,14,0.667,3,91,5.74,0,0,0,2,12-13
8,Ben Bishop\bishobe01,26,OTT,13,12,8,5,0,31,399,368,0.922,2.45,1,3,758,8,0.667,3,88,4.14,0,0,0,0,12-13
8,Ben Bishop\bishobe01,26,TBL,9,9,3,4,1,25,302,277,0.917,2.99,1,2,502,6,0.667,0,94,1.6,0,0,0,2,12-13
9,Sergei Bobrovsky\bobrose01,24,CBJ,38,37,21,11,6,74,1084,1010,0.932,2,4,9.2,2219,26,0.703,4,78,21.48,0,0,0,0,12-13
10,Brian Boucher\bouchbr01,36,PHI,4,1,0,2,0,6,55,49,0.891,2.5,0,0.2,144,0,0,0,NA,NA,0,0,0,0,12-13
11,Martin Brodeur*\brodema01,40,NJD,29,29,13,9,7,65,654,589,0.901,2.22,2,3.1,1757,15,0.517,6,113,-7.4,1,2,3,0,12-13
12,Ilya Bryzgalov\bryzgil01,32,PHI,40,40,19,17,3,107,1066,959,0.9,2.79,1,5,2298,20,0.5,10,114,-13.11,0,3,3,0,12-13
13,Peter Budaj\budajpe01,30,MTL,13,10,8,1,1,25,273,248,0.908,2.28,1,1.6,656,6,0.6,2,104,-0.95,0,0,0,0,12-13
14,Scott Clemmensen\clemmsc01,35,FLA,19,11,3,7,2,53,421,368,0.874,3.67,0,0.7,866,3,0.273,4,143,-15.92,0,0,0,0,12-13
15,Corey Crawford\crawfco01,28,CHI,30,28,19,5,5,57,769,712,0.926,1.94,3,6,1761,19,0.679,1,84,10.73,0,0,0,4,12-13
