playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470140,2012,Kari Lehtonen,DAL,G,other,36,2778.0,6.47,5.0,81.0,3.7,4.0,9.79,9.0,47.7,48.0,0.91,1.0,26.56,24.0,16.86,21.0,6.16,31.0,28.0,6.0,1.05,3.43,2.0,0.0,3.0,2.0,16.0,0.0,0.0
8470140,2012,Kari Lehtonen,DAL,G,all,36,119171.0,108.12,88.0,1947.0,76.16,94.0,238.85,256.0,1072.09,1050.0,30.68,40.0,590.18,498.0,432.52,515.0,102.11,1085.0,275.0,120.0,30.7,34.08,43.34,25.0,23.0,40.0,467.0,0.0,0.0
8470140,2012,Kari Lehtonen,DAL,G,5on5,36,94337.0,67.85,60.0,1467.0,54.08,70.0,187.14,200.0,800.73,787.0,23.85,31.0,442.97,352.0,330.25,402.0,64.88,846.0,194.0,68.0,24.49,24.09,19.28,23.0,19.0,18.0,359.0,0.0,0.0
8470140,2012,Kari Lehtonen,DAL,G,4on5,36,10868.0,30.11,21.0,333.0,16.36,18.0,36.0,42.0,183.33,178.0,0.77,2.0,108.16,112.0,56.67,59.0,27.44,169.0,42.0,42.0,3.99,5.16,20.95,2.0,1.0,18.0,80.0,0.0,0.0
8470140,2012,Kari Lehtonen,DAL,G,5on4,36,11188.0,3.37,2.0,54.0,1.75,2.0,4.5,4.0,34.52,29.0,4.95,6.0,9.81,9.0,25.63,27.0,3.31,32.0,10.0,4.0,1.0,1.25,1.12,0.0,0.0,2.0,8.0,0.0,0.0
8466339,2012,Scott Clemmensen,FLA,G,other,19,704.0,3.33,5.0,38.0,1.87,3.0,4.6,2.0,22.47,23.0,0.33,0.0,12.58,15.0,6.82,4.0,3.03,15.0,10.0,5.0,0.64,1.42,1.27,2.0,2.0,1.0,8.0,0.0,0.0
8466339,2012,Scott Clemmensen,FLA,G,all,19,51985.0,40.43,53.0,790.0,30.08,36.0,97.03,74.0,428.34,421.0,12.36,9.0,238.23,198.0,174.38,217.0,39.03,417.0,143.0,34.0,12.24,17.36,10.83,19.0,24.0,10.0,196.0,0.0,0.0
8466339,2012,Scott Clemmensen,FLA,G,5on5,19,42268.0,27.13,39.0,631.0,22.61,23.0,78.47,61.0,336.21,332.0,10.38,9.0,187.11,158.0,141.94,173.0,26.57,339.0,115.0,14.0,9.83,13.81,3.49,15.0,20.0,4.0,163.0,0.0,0.0
8466339,2012,Scott Clemmensen,FLA,G,4on5,19,4901.0,9.06,9.0,111.0,5.26,9.0,13.09,10.0,61.54,60.0,0.27,0.0,36.51,23.0,19.98,34.0,8.63,56.0,17.0,13.0,1.64,2.01,5.41,2.0,2.0,5.0,25.0,0.0,0.0
8466339,2012,Scott Clemmensen,FLA,G,5on4,19,4112.0,0.9,0.0,10.0,0.34,1.0,0.86,1.0,8.11,6.0,1.38,0.0,2.04,2.0,5.65,6.0,0.8,7.0,1.0,2.0,0.13,0.12,0.66,0.0,0.0,0.0,0.0,0.0,0.0
8476839,2012,Viktor Fasth,ANA,G,other,25,2974.0,4.79,1.0,69.0,2.38,1.0,7.6,12.0,37.33,34.0,0.83,0.0,20.48,17.0,16.52,20.0,4.64,36.0,11.0,6.0,1.3,1.34,2.16,0.0,1.0,0.0,16.0,0.0,0.0
8476839,2012,Viktor Fasth,ANA,G,all,25,85698.0,56.18,52.0,1352.0,46.35,49.0,156.75,163.0,676.83,661.0,21.17,22.0,388.04,297.0,293.74,376.0,54.65,745.0,169.0,50.0,20.53,20.08,15.58,21.0,16.0,15.0,388.0,0.0,0.0
8476839,2012,Viktor Fasth,ANA,G,5on5,25,70074.0,43.21,41.0,1100.0,36.82,39.0,131.28,138.0,555.24,541.0,16.93,19.0,316.3,244.0,241.61,303.0,42.12,608.0,146.0,34.0,16.88,17.27,9.05,16.0,14.0,11.0,312.0,0.0,0.0
8476839,2012,Viktor Fasth,ANA,G,4on5,25,6834.0,7.15,8.0,161.0,6.55,9.0,16.42,12.0,72.87,72.0,0.55,1.0,48.13,34.0,25.14,41.0,6.85,88.0,9.0,9.0,2.03,1.08,4.04,4.0,0.0,4.0,55.0,0.0,0.0
8476839,2012,Viktor Fasth,ANA,G,5on4,25,5816.0,1.04,2.0,22.0,0.6,0.0,1.44,1.0,11.39,14.0,2.86,2.0,3.14,2.0,10.47,12.0,1.04,13.0,3.0,1.0,0.32,0.39,0.33,1.0,1.0,0.0,5.0,0.0,0.0
8475311,2012,Darcy Kuemper,MIN,G,other,6,171.0,0.31,0.0,7.0,0.33,1.0,0.8,1.0,3.94,3.0,0.0,0.0,2.13,2.0,1.31,1.0,0.3,3.0,2.0,0.0,0.11,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8475311,2012,Darcy Kuemper,MIN,G,all,6,17298.0,10.01,10.0,235.0,9.15,5.0,29.41,28.0,130.47,119.0,3.89,1.0,73.09,69.0,54.31,64.0,9.69,142.0,31.0,7.0,4.28,3.84,1.89,3.0,6.0,1.0,55.0,0.0,0.0
