playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470140,2015,Kari Lehtonen,DAL,G,other,43,4436.0,7.54,4.0,120.0,4.75,4.0,10.88,7.0,58.12,55.0,1.54,0.0,35.77,35.0,19.14,28.0,6.98,51.0,21.0,8.0,1.93,2.75,2.86,2.0,2.0,0.0,40.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,all,43,136751.0,101.59,105.0,2258.0,80.32,82.0,264.53,243.0,1153.13,1121.0,39.92,50.0,650.02,554.0,484.42,599.0,98.2,1204.0,336.0,79.0,33.35,41.09,27.15,38.0,46.0,21.0,639.0,2.0,1.0
8470140,2015,Kari Lehtonen,DAL,G,5on5,43,110645.0,72.72,80.0,1782.0,59.84,59.0,216.14,206.0,911.98,879.0,32.41,42.0,511.18,434.0,392.2,478.0,70.9,965.0,268.0,49.0,26.93,32.09,13.7,32.0,41.0,7.0,500.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,4on5,43,10805.0,18.52,17.0,310.0,14.37,17.0,33.66,29.0,155.69,157.0,0.63,2.0,95.53,81.0,51.43,66.0,17.54,162.0,37.0,20.0,3.65,4.93,9.94,3.0,1.0,13.0,91.0,0.0,0.0
8470140,2015,Kari Lehtonen,DAL,G,5on4,43,10865.0,2.8,4.0,46.0,1.37,2.0,3.86,1.0,27.34,30.0,5.33,6.0,7.54,4.0,21.65,27.0,2.78,26.0,10.0,2.0,0.84,1.32,0.65,1.0,2.0,1.0,8.0,2.0,1.0
8470147,2015,Curtis McElhinney,CBJ,G,other,18,1566.0,7.02,4.0,51.0,2.0,4.0,5.04,7.0,29.06,29.0,0.18,0.0,14.52,16.0,8.42,6.0,5.0,11.0,15.0,12.0,0.54,1.8,4.68,0.0,2.0,2.0,13.0,0.0,0.0
8470147,2015,Curtis McElhinney,CBJ,G,all,18,50126.0,43.92,46.0,799.0,28.74,37.0,96.6,79.0,424.14,417.0,11.76,16.0,237.0,196.0,169.61,212.0,40.18,423.0,118.0,49.0,12.86,14.18,16.89,13.0,17.0,16.0,209.0,0.0,0.0
8470147,2015,Curtis McElhinney,CBJ,G,5on5,18,39830.0,24.55,33.0,578.0,19.04,26.0,74.64,61.0,305.53,306.0,9.58,16.0,171.01,126.0,128.55,169.0,23.75,331.0,76.0,21.0,9.69,8.87,5.99,11.0,14.0,8.0,150.0,0.0,0.0
8470147,2015,Curtis McElhinney,CBJ,G,4on5,18,4670.0,10.04,7.0,151.0,6.84,6.0,15.15,10.0,76.97,70.0,0.16,0.0,47.95,52.0,25.45,28.0,9.15,73.0,25.0,10.0,2.43,3.23,4.38,2.0,1.0,4.0,43.0,0.0,0.0
8470147,2015,Curtis McElhinney,CBJ,G,5on4,18,4060.0,1.45,1.0,13.0,0.47,1.0,1.06,0.0,8.16,8.0,1.65,0.0,2.11,2.0,5.68,6.0,1.41,7.0,1.0,3.0,0.16,0.13,1.16,0.0,0.0,1.0,2.0,0.0,0.0
8474889,2015,Martin Jones,S.J,G,other,65,6423.0,11.12,9.0,191.0,7.09,10.0,19.34,28.0,94.08,95.0,2.47,3.0,53.84,42.0,33.42,37.0,10.2,86.0,29.0,13.0,3.02,3.47,4.63,2.0,3.0,4.0,63.0,0.0,0.0
8474889,2015,Martin Jones,S.J,G,all,65,226852.0,147.81,143.0,3437.0,120.08,133.0,406.85,399.0,1749.03,1734.0,62.23,54.0,983.26,776.0,717.47,936.0,142.59,1876.0,420.0,137.0,51.68,50.27,45.87,54.0,39.0,50.0,1004.0,0.0,0.0
8474889,2015,Martin Jones,S.J,G,5on5,65,185464.0,102.79,100.0,2691.0,87.69,86.0,326.6,321.0,1355.58,1335.0,48.96,43.0,756.39,597.0,566.5,748.0,100.12,1481.0,324.0,79.0,41.27,38.96,22.55,45.0,32.0,23.0,807.0,0.0,0.0
8474889,2015,Martin Jones,S.J,G,4on5,65,16380.0,29.32,30.0,472.0,23.01,33.0,53.59,44.0,250.13,253.0,0.89,0.0,157.09,129.0,81.22,108.0,27.75,258.0,57.0,38.0,6.09,6.71,16.52,5.0,3.0,22.0,119.0,0.0,0.0
8474889,2015,Martin Jones,S.J,G,5on4,65,18585.0,3.31,3.0,72.0,1.7,2.0,5.86,5.0,40.65,42.0,9.72,8.0,12.29,7.0,32.55,37.0,3.29,47.0,6.0,4.0,1.2,0.77,1.34,2.0,0.0,1.0,15.0,0.0,0.0
